Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
0,0,123.3398477,37.59398559
1,10,123.2134711,37.555466
2,20,129.7239051,39.53984626
3,30,122.911273,37.463356
4,40,123.2844998,37.57711553
5,50,124.3725802,37.90876244
6,60,123.6189845,37.67906648
7,70,123.9578992,37.78236767
8,80,123.9828552,37.78997428
9,90,124.2256282,37.86397148
10,100,124.3534501,37.90293158
11,110,124.5166935,37.95268819
12,120,124.4803411,37.94160797
13,130,124.7174895,38.01389079
14,140,129.3368329,39.42186666
15,150,128.6114228,39.20076168
16,160,129.7342125,39.54298797
17,170,126.4847388,38.55254839
18,180,126.0973609,38.4344756
19,190,126.491395,38.55457721
20,200,127.7596964,38.94115547
21,210,126.672536,38.60978899
22,220,128.7615851,39.24653115
23,230,129.1155107,39.35440767
24,240,128.532352,39.17666089
25,250,132.5383589,40.39769178
26,260,131.4392401,40.06268039
27,270,129.6237463,39.50931786
28,280,129.5868998,39.49808704
29,290,128.9453002,39.30252749
30,300,128.5350635,39.17748734
31,310,127.2179492,38.77603093
32,320,126.340216,38.50849783
33,330,124.9857321,38.09565116
34,340,123.9476882,37.77925537
35,350,122.4924889,37.33571062
36,360,120.2071365,36.6391352
37,370,118.0976648,35.99616824
38,380,130.7614333,39.85608487
39,390,112.489315,34.28674322
40,400,110.6722443,33.73290006
41,410,118.708993,36.18250108
42,420,109.9872504,33.52411391
43,430,109.4674313,33.36567307
44,440,113.2769991,34.52682933
45,450,109.7701216,33.45793306
46,460,109.8941958,33.49575088
47,470,109.9425188,33.51047974
48,480,109.8721286,33.4890248
49,490,112.831196,34.39094853
50,500,109.1608171,33.27221704
51,510,108.6192187,33.10713787
52,520,108.0659289,32.93849512
53,530,108.3224649,33.01668731
54,540,107.8888865,32.8845326
55,550,108.26754,32.99994619
56,560,113.1243092,34.48028943
57,570,108.9561707,33.20984083
58,580,111.8253848,34.08437728
59,590,109.5793195,33.39977657
60,600,109.7674873,33.45713013
61,610,110.0795292,33.5522405
62,620,110.3407677,33.63186599
63,630,115.5792224,35.22854698
64,640,152.8988691,46.60357531
65,650,109.6294417,33.41505382
66,660,109.5373991,33.38699925
67,670,124.715105,38.013164
68,680,109.287484,33.31082513
69,690,109.2209354,33.29054112
70,700,110.6559172,33.72792357
71,710,109.5064401,33.37756295
72,720,109.6032139,33.40705958
73,730,108.792115,33.15983666
74,740,108.6583367,33.11906102
75,750,108.679279,33.12544424
76,760,108.5864418,33.09714745
77,770,108.5505828,33.08621765
78,780,108.4798684,33.06466389
79,790,108.3581075,33.02755117
80,800,108.2081971,32.98185847
81,810,108.1800204,32.97327021
82,820,108.1562626,32.96602883
83,830,108.875973,33.18539656
84,840,110.6637319,33.73030547
85,850,107.4512188,32.7511315
86,860,105.402384,32.12664664
87,870,103.0751862,31.41731675
88,880,100.7003009,30.6934517
89,890,98.29825813,29.96130908
90,900,111.1519951,33.87912812
91,910,93.50205798,28.49942727
92,920,91.08483279,27.76265703
93,930,88.65797876,27.02295193
94,940,86.08933493,26.24002929
95,950,87.53927516,26.68197107
96,960,80.91250979,24.66213298
97,970,78.62355062,23.96445823
98,980,76.27691269,23.24920299
99,990,76.23346184,23.23595917
100,1000,71.87208106,21.90661031
101,1010,70.92503727,21.61795136
102,1020,71.60050344,21.82383345
103,1030,71.06861372,21.66171346
104,1040,73.2953156,22.34041219
105,1050,75.89672103,23.13332057
106,1060,78.58174125,23.95171473
107,1070,82.05175805,25.00937585
108,1080,83.75089126,25.52727166
109,1090,86.38560583,26.33033266
110,1100,92.17280927,28.09427226
111,1110,92.12923715,28.08099148
112,1120,96.31580192,29.35705643
113,1130,96.79285704,29.50246283
114,1140,103.3852143,31.51181333
115,1150,102.0678651,31.11028528
116,1160,104.579456,31.87581819
117,1170,127.0626663,38.72870069
118,1180,108.4715047,33.06211463
119,1190,132.3657594,40.34508346
120,1200,110.5477636,33.69495833
121,1210,112.6931374,34.34886827
122,1220,111.4077154,33.95707165
123,1230,112.3925411,34.25724652
124,1240,134.6831984,41.05143887
125,1250,112.4112765,34.26295709
126,1260,112.2647194,34.21828646
127,1270,114.6305355,34.93938722
128,1280,114.5840536,34.92521952
129,1290,114.5572179,34.91704001
130,1300,116.6056019,35.54138746
131,1310,144.9661981,44.18569719
132,1320,117.3800607,35.77744252
133,1330,117.5925924,35.84222216
134,1340,142.4867316,43.42995579
135,1350,119.236425,36.34326235
136,1360,120.2669689,36.65737211
137,1370,145.2659397,44.27705843
138,1380,123.3577723,37.599449
139,1390,136.0195339,41.45875395
140,1400,126.5036595,38.5583154
141,1410,128.0567134,39.03168623
142,1420,129.6973371,39.53174835
143,1430,149.5173319,45.57288278
144,1440,133.024073,40.54573746
145,1450,134.3219666,40.94133543
146,1460,135.2663048,41.22916972
147,1470,136.7860835,41.69239825
148,1480,144.487303,44.03972994
149,1490,141.2634141,43.05708863
150,1500,143.6102499,43.77240418
151,1510,145.9248957,44.47790821
152,1520,148.2595895,45.18952288
153,1530,154.4896486,47.08844489
154,1540,152.8825364,46.5985971
155,1550,155.2129327,47.30890187
156,1560,157.6731902,48.05878839
157,1570,159.9285607,48.7462253
158,1580,162.1892959,49.4352974
159,1590,164.3042612,50.07993882
160,1600,165.936049,50.57730774
161,1610,167.0368781,50.91284045
162,1620,167.8776992,51.16912273
163,1630,170.3854765,51.93349323
164,1640,168.3664527,51.31809478
165,1650,168.5103123,51.36194318
166,1660,169.3967291,51.63212302
167,1670,168.7896066,51.4470721
168,1680,168.8861245,51.47649074
169,1690,168.9901252,51.50819017
170,1700,169.0345499,51.52173082
