,Lat,Long
0,47.65053260749295,-122.30756053529534
1,47.6505702130828,-122.30747273189975
2,47.65059260283979,-122.30722583308294
3,47.65056076560248,-122.3068467314136
4,47.650560143135365,-122.30683129285894
5,47.65055123204429,-122.30658756486848
6,47.65055435289991,-122.30632510506987
7,47.65056215096528,-122.30610376304159
8,47.65058924871735,-122.30583183741717
9,47.65062439882471,-122.3056157336896
10,47.65064846859098,-122.3054930531022
11,47.65068266374587,-122.30535077679728
12,47.65075049693666,-122.30510921961915
13,47.65084229615551,-122.30485900737327
14,47.65093287547253,-122.30463960044038
15,47.65095184220721,-122.30459347069315
16,47.65102158757643,-122.30435237281557
17,47.65104912063478,-122.3041100788864
18,47.65103672749582,-122.3039019602615
19,47.65065788282954,-122.30410672157392
20,47.65052174076898,-122.30418118912512
21,47.6504673396518,-122.30421089666747
22,47.65027700688739,-122.30429884402025
23,47.650070332074854,-122.30437821260614
24,47.64986477527512,-122.30445598931439
25,47.64964106836206,-122.30451661439598
26,47.64938158541355,-122.3045660820712
27,47.64930992161625,-122.30465860243703
28,47.64927952880542,-122.30474011567777
29,47.649266493748165,-122.304815222557
30,47.64926102294174,-122.30489906517275
31,47.6492700891761,-122.30504621547047
32,47.649667691920875,-122.30587228746037
33,47.649728302093266,-122.30599858080086
34,47.650108776922266,-122.30672801096512
35,47.65053260749295,-122.30756053529534
36,47.65053260749295,-122.30756053529534
37,47.65086210845893,-122.30820251335712
38,47.65102755761703,-122.30857526433199
39,47.65133981043927,-122.30923583856739
40,47.652094806596885,-122.31072750342773
41,47.652094806596885,-122.31072750342773
42,47.65230082080221,-122.31114322335095
43,47.65248491965775,-122.31151490153164
44,47.65248491965775,-122.31151490153164
45,47.65230242256148,-122.31114651479852
46,47.652094806596885,-122.31072750342773
47,47.65248491965775,-122.31151490153164
48,47.65298481536277,-122.31246288903448
49,47.65298481536277,-122.31246288903448
50,47.65333848721513,-122.3131206328545
51,47.653393638881724,-122.31322325032919
52,47.653393638881724,-122.31322325032919
53,47.65298481536277,-122.31246288903448
54,47.653393638881724,-122.31322325032919
55,47.65344598093602,-122.31333106444777
56,47.653569435474964,-122.31332605634067
57,47.65390954381866,-122.31331828834088
58,47.65535363397517,-122.31328512968173
59,47.655987533609846,-122.31326786792435
60,47.65621546685345,-122.31326218130268
61,47.656834269145186,-122.31324611098142
62,47.656834269145186,-122.31324611098142
63,47.65738504817806,-122.31323175757225
64,47.6583149042235,-122.31320709005877
65,47.6583149042235,-122.31320709005877
66,47.65694398716426,-122.31324314663969
67,47.656834269145186,-122.31324611098142
68,47.6583149042235,-122.31320709005877
69,47.65976755456408,-122.31316929960865
70,47.659795259657045,-122.31316846508723
71,47.659795259657045,-122.31316846508723
72,47.6583149042235,-122.31320709005877
73,47.659795259657045,-122.31316846508723
74,47.661269310236506,-122.3131296571083
75,47.661269310236506,-122.3131296571083
76,47.659849841753775,-122.31316717726918
77,47.659795259657045,-122.31316846508723
78,47.661269310236506,-122.3131296571083
79,47.66207534246756,-122.31311729157329
80,47.663091723658155,-122.3131019822555
81,47.663091723658155,-122.3131019822555
82,47.66227417461973,-122.31311442790202
83,47.661269310236506,-122.3131296571083
84,47.663091723658155,-122.3131019822555
85,47.66490070108622,-122.3130743291459
86,47.6648927046826,-122.31193756630354
87,47.666428221041656,-122.31191629991035
88,47.66490070108622,-122.3130743291459
89,47.66413361218521,-122.31308618263787
90,47.663091723658155,-122.3131019822555
91,47.66490070108622,-122.3130743291459
92,47.664896430041054,-122.31247427915464
93,47.6648927046826,-122.31193756630354
94,47.66490070108622,-122.3130743291459
95,47.66518866752805,-122.3130699448708
96,47.66643570163118,-122.31305064586809
97,47.666428221041656,-122.31191629991035
98,47.66630179351811,-122.31191797990421
99,47.6648927046826,-122.31193756630354
100,47.666428221041656,-122.31191629991035
101,47.66660649055896,-122.31191325266138
102,47.668518885881994,-122.31188200304062
103,47.66643570163118,-122.31305064586809
104,47.66490070108622,-122.3130743291459
105,47.66643570163118,-122.31305064586809
106,47.668517837988816,-122.31301858767823
107,47.668518885881994,-122.31188200304062
108,47.666428221041656,-122.31191629991035
109,47.668518885881994,-122.31188200304062
110,47.66854000754719,-122.31188138528412
111,47.6694458848104,-122.31188726416919
112,47.668517837988816,-122.31301858767823
