Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
168,1680,65.46045444,19.95234651
169,1690,65.03584896,19.82292676
170,1700,64.64575692,19.70402671
171,1710,71.0020446,21.64142319
172,1720,75.23568138,22.93183568
173,1730,63.91568886,19.48150196
174,1740,64.68768799,19.7168073
175,1750,67.86538151,20.68536828
176,1760,68.35616324,20.83495856
177,1770,74.79834483,22.79853551
178,1780,68.21907156,20.79317301
179,1790,69.1337361,21.07196276
180,1800,69.98841586,21.33246915
181,1810,70.8937241,21.60840711
182,1820,71.71379027,21.85836327
183,1830,72.63676287,22.13968532
184,1840,73.48943131,22.39957866
185,1850,74.34324237,22.65982027
186,1860,84.95124156,25.89313843
187,1870,76.7073888,23.38041211
188,1880,77.2343109,23.54101796
189,1890,78.18617397,23.83114583
190,1900,79.02011745,24.0853318
191,1910,80.02585093,24.39187936
192,1920,81.21942476,24.75568067
193,1930,83.48909319,25.4474756
194,1940,83.53655131,25.46194084
195,1950,85.26077285,25.98748357
196,1960,84.46655983,25.74540744
197,1970,86.31628895,26.30920487
198,1980,87.25153051,26.5942665
199,1990,87.98998984,26.8193489
200,2000,89.14534741,27.17150189
201,2010,90.88530047,27.70183958
202,2020,91.44226268,27.87160166
203,2030,92.43012082,28.17270083
204,2040,92.32068329,28.13934427
205,2050,92.47492032,28.18635571
206,2060,90.82359671,27.68303228
207,2070,91.87200824,28.00258811
208,2080,92.88667614,28.31185889
209,2090,93.76116334,28.57840259
210,2100,94.88519995,28.92100894
211,2110,99.68916119,30.38525633
212,2120,101.3542901,30.89278762
213,2130,98.29476379,29.960244
214,2140,99.48594697,30.32331664
215,2150,100.560113,30.65072244
216,2160,101.7004813,30.99830671
217,2170,109.2213948,33.29068114
218,2180,111.6014626,34.01612579
219,2190,107.685925,32.82266995
220,2200,106.0926199,32.33703054
221,2210,108.1649572,32.96867896
222,2220,108.3389582,33.02171445
223,2230,109.4846607,33.37092457
224,2240,110.6351536,33.72159481
225,2250,113.0126503,34.44625581
226,2260,112.8757382,34.40452502
227,2270,115.1459902,35.09649781
228,2280,114.9294613,35.03049979
229,2290,116.0902551,35.38430974
230,2300,121.450446,37.01809595
231,2310,118.2902239,36.05486025
232,2320,120.3203527,36.6736435
233,2330,120.6022924,36.75957871
234,2340,121.7544206,37.1107474
235,2350,122.766558,37.41924688
236,2360,123.414389,37.61670576
237,2370,134.6852349,41.05205959
238,2380,123.2134634,37.55546363
239,2390,123.4354161,37.62311484
240,2400,123.6377449,37.68478464
241,2410,123.6286505,37.68201266
242,2420,123.7633529,37.72306996
243,2430,123.4700475,37.63367047
244,2440,123.645045,37.6870097
245,2450,123.7767173,37.72714343
246,2460,127.7501408,38.93824291
247,2470,123.4423306,37.62522238
248,2480,123.6775674,37.69692255
249,2490,127.1481548,38.75475758
250,2500,124.1512087,37.84128842
251,2510,123.8427254,37.7472627
252,2520,124.9832403,38.09489164
253,2530,123.8220569,37.74096295
254,2540,123.8292717,37.74316201
255,2550,126.613888,38.59191306
256,2560,123.6751062,37.69617236
257,2570,124.1013602,37.82609458
258,2580,124.8178908,38.04449312
259,2590,129.485462,39.46716881
260,2600,131.1015166,39.95974225
261,2610,123.493716,37.64088465
262,2620,123.5546941,37.65947078
263,2630,123.653422,37.68956304
264,2640,123.8476749,37.74877132
265,2650,124.8019287,38.03962787
266,2660,123.1040231,37.52210623
267,2670,123.0849913,37.51630534
268,2680,134.2156339,40.9089252
269,2690,122.8599652,37.44771739
270,2700,121.2959464,36.97100445
271,2710,120.2016502,36.637463
272,2720,119.1221221,36.30842281
273,2730,117.9286702,35.94465869
274,2740,116.8487898,35.61551113
275,2750,116.5141156,35.51350243
276,2760,114.6212442,34.93655524
277,2770,113.6110623,34.62865179
278,2780,112.532345,34.29985875
279,2790,117.636583,35.85563051
280,2800,113.3226156,34.54073322
281,2810,108.9671967,33.21320154
282,2820,107.921222,32.89438846
283,2830,108.5090846,33.07356899
284,2840,105.981221,32.30307616
