Index,Dist. Route (m),Elev. Lidar (m)
0,0,19.812
1,9.997547838,19.89333056
2,19.99554641,20.1168
3,29.9939957,23.3328069
4,39.99154354,20.1168
5,49.98909138,20.4216
6,59.98663921,28.35332792
7,69.9823839,21.70203977
8,79.98083319,20.7264
9,89.97883177,21.24849358
10,99.97818242,21.14392378
11,109.9775331,21.0642602
12,119.9768837,21.15328997
13,129.9757837,21.336
14,139.9697249,21.336
15,149.9699769,21.6408
16,159.9702288,21.6408
17,169.9686781,21.6408
18,179.9698313,22.21718882
19,189.9709844,21.9456
20,199.7691167,24.35565219
21,209.6058063,21.96776046
22,219.5473045,22.2504
23,229.5019394,22.2504
24,239.2502737,22.2504
25,249.2315815,22.2504
26,259.2133408,23.19055983
27,269.1946486,22.11623993
28,279.1759564,22.24982931
29,289.1568127,22.22450576
30,299.1381205,21.97097421
31,309.1194282,22.05327125
32,319.100736,21.9456
33,329.0829467,22.03007733
34,339.0651575,22.15731623
35,349.0473682,22.48284561
36,359.0295789,22.11655688
37,369.0117896,21.9456
38,378.9940003,21.9456
39,388.9757595,21.6408
40,398.9575188,21.9456
41,408.939278,21.6408
42,418.9214888,21.89538505
43,428.9036995,21.92684942
44,438.8859102,21.6408
45,448.8681209,21.6408
46,458.8494287,24.29558033
47,468.8311879,21.89445711
48,478.8129472,21.6408
49,488.7951579,22.22571813
50,498.7773686,21.6408
51,508.7595793,22.29622074
52,518.74179,21.336
53,528.7194853,21.336
54,538.6994386,21.336
55,548.6793918,21.336
56,558.6588935,21.336
57,568.6383952,21.336
58,578.6188,21.0312
59,588.5996563,23.14219933
60,598.5800611,20.82476746
61,608.5604659,20.50028945
62,618.5408707,20.39287723
63,628.5212755,20.59062767
64,638.5034862,23.93626975
65,648.4856969,19.5072
66,658.4674561,19.33772608
67,668.4487639,19.26932969
68,678.4305232,18.74211966
69,688.4122825,18.29185371
70,698.3944932,18.288
71,708.3762524,17.9832
72,718.3575602,17.82464632
73,728.3393195,17.68157162
74,738.3215302,17.91752608
75,748.302838,17.9832
76,758.2850487,18.30552769
77,768.2663565,24.08156045
78,778.2485672,19.2024
79,788.2303264,26.84071104
80,798.2120857,27.78386342
81,808.1933935,29.04007281
82,818.1747012,27.80948511
83,828.156009,29.87102283
84,838.1364138,29.90469585
85,848.1186245,22.72338907
86,858.1008352,21.0312
87,868.0830459,21.0312
88,878.0652567,21.74726509
89,888.0474674,24.9936
90,898.0296781,21.49211836
91,908.0118888,21.336
92,917.9945509,21.6408
93,927.9767616,22.05505048
94,937.9589723,24.58790859
95,947.9416345,21.9185669
96,957.924748,21.9456
97,967.9078615,21.6408
98,977.8909751,21.6408
99,987.8740886,21.336
