Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
169,1690,53.68889126,16.36437406
170,1700,51.08753324,15.57148013
171,1710,48.55647225,14.80001274
172,1720,45.7582365,13.94711049
173,1730,44.24779721,13.48672859
174,1740,41.77751995,12.73378808
175,1750,40.92642157,12.4743733
176,1760,40.13884504,12.23431997
177,1770,40.17013998,12.24385867
178,1780,40.03265388,12.2019529
179,1790,43.42488107,13.23590375
180,1800,39.23003075,11.95731337
181,1810,41.00172323,12.49732524
182,1820,38.63775309,11.77678714
183,1830,38.08153048,11.60725049
184,1840,37.92692155,11.56012569
185,1850,38.03364256,11.59265425
186,1860,38.64250889,11.77823671
187,1870,38.6468821,11.77956966
188,1880,40.45096513,12.32945417
189,1890,39.10515587,11.91925151
190,1900,39.68501206,12.09599168
191,1910,39.60355292,12.07116293
192,1920,57.65778417,17.57409262
193,1930,48.38125037,14.74660511
194,1940,50.98022673,15.53877311
195,1950,78.73506484,23.99844776
196,1960,43.81409432,13.35453595
197,1970,41.06443077,12.5164385
198,1980,41.2814064,12.58257267
199,1990,41.94817544,12.78580387
200,2000,41.62504474,12.68731364
201,2010,44.49371909,13.56168558
202,2020,41.98918875,12.79830473
203,2030,51.61014801,15.73077311
204,2040,45.86738901,13.98038017
205,2050,42.51478474,12.95850639
206,2060,42.68481712,13.01033226
207,2070,46.89867579,14.29471638
208,2080,43.13472721,13.14746485
209,2090,43.40255967,13.22910019
210,2100,44.28909396,13.49931584
211,2110,43.92548281,13.38848716
212,2120,44.13782104,13.45320785
213,2130,44.17627139,13.46492752
214,2140,61.5122025,18.74891932
215,2150,44.50683947,13.56568467
216,2160,44.77214921,13.64655108
217,2170,45.03310035,13.72608899
218,2180,45.28099433,13.80164707
219,2190,65.85112699,20.07142351
220,2200,45.83364359,13.97009457
221,2210,46.22183457,14.08841518
222,2220,46.43830694,14.15439595
223,2230,46.72768621,14.24259876
224,2240,46.98986426,14.32251063
225,2250,47.25182204,14.40235536
