Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
0,0,52.41780504,15.97694698
1,10,46.37637858,14.13552019
2,20,57.69112673,17.58425543
3,30,47.37869089,14.44102498
4,40,48.2731322,14.71365069
5,50,51.54784881,15.71178432
6,60,50.55816625,15.41012907
7,70,51.60983686,15.73067827
8,80,52.80858909,16.09605795
9,90,54.31138817,16.55411111
10,100,60.97861345,18.58628138
11,110,55.33056841,16.86475725
12,120,56.06174556,17.08762005
13,130,57.39695195,17.49459095
14,140,62.74715135,19.12533173
15,150,59.69646337,18.19548203
16,160,60.32919905,18.38833987
17,170,68.19893346,20.78703492
18,180,63.3304394,19.30311793
19,190,64.56153977,19.67835732
20,200,68.37473081,20.84061795
21,210,80.84883672,24.64272543
22,220,65.24329092,19.88615507
23,230,64.86538993,19.77097085
24,240,76.8571414,23.4260567
25,250,73.97764979,22.54838766
26,260,63.67846687,19.4091967
27,270,64.13208448,19.54745935
28,280,65.84811825,20.07050644
29,290,65.99483468,20.11522561
30,300,70.01835331,21.34159409
31,310,67.71634559,20.63994214
32,320,68.67885704,20.93331563
33,330,69.51501787,21.18817745
34,340,70.39599204,21.45669838
35,350,71.22705696,21.71000696
36,360,72.08677577,21.97204925
37,370,72.98314809,22.24526354
38,380,81.99796716,24.99298039
39,390,74.74130179,22.78114879
40,400,75.67462453,23.06562556
41,410,77.99558984,23.77305578
42,420,78.76813739,24.00852828
43,430,78.60003248,23.9572899
44,440,79.21658874,24.14521625
45,450,80.51831275,24.54198173
46,460,81.51303313,24.8451725
47,470,82.35300651,25.10119639
48,480,83.05520995,25.31522799
49,490,84.32862816,25.70336586
50,500,86.82747787,26.46501525
51,510,88.02328876,26.82949841
52,520,87.65632185,26.7176469
53,530,89.02779269,27.13567121
54,540,89.65459681,27.32672111
55,550,90.82999241,27.68498169
56,560,91.86597408,28.0007489
57,570,92.88395833,28.3110305
58,580,93.75741658,28.57726057
59,590,94.88006471,28.91944372
60,600,99.64893609,30.37299572
61,610,101.4399845,30.91890729
62,620,98.29007919,29.95881614
63,630,99.48064711,30.32170124
64,640,100.55409,30.64888662
65,650,101.6949113,30.99660897
66,660,109.3374477,33.32605405
67,670,111.4241059,33.96206747
68,680,107.6025046,32.79724339
69,690,106.0838872,32.3343688
70,700,108.11029,32.95201639
71,710,108.3326704,33.01979793
72,720,109.4706977,33.36666867
73,730,110.6314089,33.72045342
74,740,113.001658,34.44290535
75,750,112.8716968,34.40329319
76,760,115.1617405,35.10129849
77,770,114.925921,35.02942072
78,780,116.0839913,35.38240056
79,790,121.1149271,36.91582977
80,800,118.2817811,36.05228687
81,810,120.2554222,36.65385267
82,820,120.5916423,36.75633258
83,830,121.7510355,37.10971563
84,840,122.7665056,37.41923091
85,850,123.4122034,37.6160396
86,860,135.2239456,41.21625861
87,870,123.2085282,37.5539594
88,880,123.4300223,37.62147081
89,890,123.6374605,37.68469796
90,900,123.6308409,37.68268031
91,910,123.8158285,37.73906453
92,920,123.4741719,37.63492761
93,930,123.7028107,37.70461671
94,940,123.7765255,37.72708498
95,950,127.8968915,38.98297254
96,960,123.4426062,37.62530636
97,970,123.677258,37.69682824
98,980,127.1830764,38.76540168
99,990,124.1610079,37.84427522
100,1000,123.8402262,37.74650093
101,1010,125.9050663,38.37586421
102,1020,128.7066514,39.22978736
103,1030,126.0271668,38.41308045
104,1040,125.1101808,38.1335831
105,1050,127.5412254,38.8745655
106,1060,125.9265068,38.38239927
107,1070,124.2178835,37.8616109
108,1080,124.3380058,37.89822418
109,1090,124.3717693,37.90851527
110,1100,124.3233665,37.8937621
111,1110,125.5720076,38.27434792
112,1120,124.6536068,37.99441934
113,1130,125.377567,38.21508243
114,1140,124.4427233,37.93014208
115,1150,130.7120976,39.84104734
116,1160,126.9373688,38.69051001
117,1170,126.1245244,38.44275503
118,1180,124.8806473,38.06362128
119,1190,124.884904,38.06491873
120,1200,124.9989047,38.09966616
121,1210,125.3337177,38.20171717
122,1220,125.1924393,38.15865549
123,1230,125.3322117,38.20125812
124,1240,125.3541963,38.20795904
125,1250,125.5454208,38.26624428
126,1260,125.621222,38.28934846
127,1270,125.7256523,38.32117883
128,1280,125.8241377,38.35119718
129,1290,126.3155864,38.50099073
130,1300,132.2315446,40.3041748
131,1310,126.5991144,38.58741006
132,1320,127.1106767,38.74333425
133,1330,128.1296174,39.05390739
134,1340,128.741267,39.24033817
135,1350,129.4891832,39.46830304
136,1360,130.275788,39.70806017
137,1370,132.6327235,40.42645412
138,1380,134.480213,40.98956891
139,1390,132.8569899,40.49481051
140,1400,133.5801269,40.71522269
141,1410,134.4497194,40.98027448
142,1420,135.6411534,41.34342357
143,1430,135.8357078,41.40272373
144,1440,135.8141526,41.3961537
145,1450,137.0368963,41.768846
146,1460,137.2150255,41.82313979
147,1470,157.1929382,47.91240755
148,1480,138.7119731,42.27940939
149,1490,139.4512548,42.50474247
150,1500,140.2095668,42.73587595
151,1510,140.8899738,42.94326402
152,1520,141.6691057,43.18074341
153,1530,142.4234696,43.41067353
154,1540,143.0990224,43.61658204
155,1550,146.3607693,44.61076249
156,1560,144.1696302,43.9429033
157,1570,145.0963096,44.22535516
158,1580,146.6366809,44.69486034
159,1590,147.0470136,44.81992974
160,1600,148.0017171,45.11092337
161,1610,148.9392547,45.39668482
162,1620,149.8473282,45.67346564
163,1630,150.8854421,45.98988274
164,1640,151.940095,46.31134095
165,1650,153.4612334,46.77498394
166,1660,156.6151026,47.73628326
167,1670,154.1453012,46.98348781
168,1680,154.1473644,46.98411666
169,1690,155.7111181,47.46074878
170,1700,156.8302617,47.80186376
